X,Y,Name,description,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
21.0711905101364,48.8217636748141,,,VN_PB,AcDbEntity:AcDbPoint,,,81,
21.3371167680583,48.7199095141615,,,VN_PB,AcDbEntity:AcDbPoint,,,82,
21.3529903584789,48.650402746712,,,VN_PB,AcDbEntity:AcDbPoint,,,83,
21.3401858167393,48.5910844035138,,,VN_PB,AcDbEntity:AcDbPoint,,,84,
21.3009419427809,48.6593227941577,,,VN_PB,AcDbEntity:AcDbPoint,,,85,
21.3482881120343,48.6785415810338,,,VN_PB,AcDbEntity:AcDbPoint,,,86,
21.4834947362147,48.7846406225001,,,VN_PB,AcDbEntity:AcDbPoint,,,87,
21.4850446969508,48.6491601776972,,,VN_PB,AcDbEntity:AcDbPoint,,,88,
21.4951027562473,48.6325359146723,,,VN_PB,AcDbEntity:AcDbPoint,,,89,
21.0921997166714,48.809435615435,,,VN_PB,AcDbEntity:AcDbPoint,,,8A,
21.3228136337612,48.79739349233,,,VN_PB,AcDbEntity:AcDbPoint,,,8B,
21.3475417950162,48.6513423106254,,,VN_PB,AcDbEntity:AcDbPoint,,,8C,
21.4323384263519,48.5973954106988,,,VN_PB,AcDbEntity:AcDbPoint,,,8D,
21.4338467544464,48.8411006097127,,,VN_PB,AcDbEntity:AcDbPoint,,,8E,
21.3286936401122,48.7388976186882,,,VN_PB,AcDbEntity:AcDbPoint,,,8F,
21.2970903244786,48.7720188476587,,,VN_PB,AcDbEntity:AcDbPoint,,,90,
21.4333466773508,48.7031573725078,,,VN_PB,AcDbEntity:AcDbPoint,,,91,
21.3232814046462,48.7941030665511,,,VN_PB,AcDbEntity:AcDbPoint,,,92,
21.5134344729506,48.753958732088,,,VN_PB,AcDbEntity:AcDbPoint,,,93,
21.3863402778021,48.8000877293849,,,VN_PB,AcDbEntity:AcDbPoint,,,94,
21.3275946337898,48.77108061339,,,VN_PB,AcDbEntity:AcDbPoint,,,95,
21.3523435512646,48.7709673684966,,,VN_PB,AcDbEntity:AcDbPoint,,,96,
21.290288059083,48.64694252652,,,VN_PB,AcDbEntity:AcDbPoint,,,97,
21.4272407954262,48.6930699819542,,,VN_PB,AcDbEntity:AcDbPoint,,,98,
21.3498251028478,48.6577140925095,,,VN_PB,AcDbEntity:AcDbPoint,,,99,
21.3844217723701,48.7453966921147,,,VN_PB,AcDbEntity:AcDbPoint,,,9A,
21.5332805903567,48.6112522454875,,,VN_PB,AcDbEntity:AcDbPoint,,,9B,
21.0982602019804,48.8070367774694,,,VN_PB,AcDbEntity:AcDbPoint,,,9C,
21.4782552022404,48.6120820048749,,,VN_PB,AcDbEntity:AcDbPoint,,,9D,
21.2456127760769,48.8081839180697,,,VN_PB,AcDbEntity:AcDbPoint,,,9E,
21.2230030462708,48.815475075414,,,VN_PB,AcDbEntity:AcDbPoint,,,9F,
21.2187574580594,48.8194977379387,,,VN_PB,AcDbEntity:AcDbPoint,,,A0,
21.2376739978156,48.7764378268185,,,VN_PB,AcDbEntity:AcDbPoint,,,A1,
21.4520221369993,48.8143811367483,,,VN_PB,AcDbEntity:AcDbPoint,,,A2,
21.3845762032357,48.6393575807668,,,VN_PB,AcDbEntity:AcDbPoint,,,A3,
21.3765967858887,48.7439273869504,,,VN_PB,AcDbEntity:AcDbPoint,,,A4,
21.3475887050236,48.5980135959986,,,VN_PB,AcDbEntity:AcDbPoint,,,A5,
21.2398308488014,48.8075584912236,,,VN_PB,AcDbEntity:AcDbPoint,,,A6,
21.400605943915,48.7522194631023,,,VN_PB,AcDbEntity:AcDbPoint,,,A7,
21.2986332597034,48.6380416985575,,,VN_PB,AcDbEntity:AcDbPoint,,,A8,
21.4730715784292,48.7924587789817,,,VN_PB,AcDbEntity:AcDbPoint,,,A9,
21.4356475429337,48.8114387556807,,,VN_PB,AcDbEntity:AcDbPoint,,,AA,
21.2399812683996,48.8648607998844,,,VN_PB,AcDbEntity:AcDbPoint,,,AB,
21.5105157016094,48.7466637977804,,,VN_PB,AcDbEntity:AcDbPoint,,,AC,
21.2531130652453,48.805375122964,,,VN_PB,AcDbEntity:AcDbPoint,,,AD,
21.3449468454355,48.7080250450597,,,VN_PB,AcDbEntity:AcDbPoint,,,AE,
21.3753590240196,48.7436842623947,,,VN_PB,AcDbEntity:AcDbPoint,,,AF,
21.4672448670742,48.8067448484095,,,VN_PB,AcDbEntity:AcDbPoint,,,B0,
21.3372567867805,48.7239700796561,,,VN_PB,AcDbEntity:AcDbPoint,,,B1,
21.2519275046651,48.6146142162224,,,VN_PB,AcDbEntity:AcDbPoint,,,B2,
21.3068828536392,48.809679757234,,,VN_PB,AcDbEntity:AcDbPoint,,,B3,
21.2430871425193,48.8085340585269,,,VN_PB,AcDbEntity:AcDbPoint,,,B4,
21.464407341878,48.8461815203231,,,VN_PB,AcDbEntity:AcDbPoint,,,B5,
21.4319234200872,48.852345733493,,,VN_PB,AcDbEntity:AcDbPoint,,,B6,
21.1954205869481,48.8523111439415,,,VN_PB,AcDbEntity:AcDbPoint,,,B7,
21.3577189392745,48.6278949973434,,,VN_PB,AcDbEntity:AcDbPoint,,,B8,
21.3241736562254,48.7980010433282,,,VN_PB,AcDbEntity:AcDbPoint,,,B9,
21.3453848582967,48.657232095644,,,VN_PB,AcDbEntity:AcDbPoint,,,BA,
21.35072141956,48.6926831895177,,,VN_PB,AcDbEntity:AcDbPoint,,,BB,
21.2419569471825,48.7840642836561,,,VN_PB,AcDbEntity:AcDbPoint,,,BC,
21.4222231630162,48.7333686681056,,,VN_PB,AcDbEntity:AcDbPoint,,,BD,
21.3304093519047,48.7665700196696,,,VN_PB,AcDbEntity:AcDbPoint,,,BE,
21.2227606652167,48.8423582169441,,,VN_PB,AcDbEntity:AcDbPoint,,,BF,
21.5283103870884,48.6167472246134,,,VN_PB,AcDbEntity:AcDbPoint,,,C0,
21.3172415808719,48.623801797522,,,VN_PB,AcDbEntity:AcDbPoint,,,C1,
21.4784218860206,48.7866275015137,,,VN_PB,AcDbEntity:AcDbPoint,,,C2,
21.4895883399921,48.8516960067031,,,VN_PB,AcDbEntity:AcDbPoint,,,C3,
21.2320252512081,48.8601041174052,,,VN_PB,AcDbEntity:AcDbPoint,,,C4,
21.3531870579068,48.693104170098,,,VN_PB,AcDbEntity:AcDbPoint,,,C5,
21.4087851582432,48.6631622591787,,,VN_PB,AcDbEntity:AcDbPoint,,,C6,
21.5067434882735,48.6470273188492,,,VN_PB,AcDbEntity:AcDbPoint,,,C7,
21.427781297439,48.7344473481213,,,VN_PB,AcDbEntity:AcDbPoint,,,C8,
21.2261367158813,48.8143411739997,,,VN_PB,AcDbEntity:AcDbPoint,,,C9,
21.2902251899448,48.5924587350081,,,VN_PB,AcDbEntity:AcDbPoint,,,CA,
21.3110304868031,48.8110735259331,,,VN_PB,AcDbEntity:AcDbPoint,,,CB,
21.2464006117188,48.797983615866,,,VN_PB,AcDbEntity:AcDbPoint,,,CC,
21.3287950380728,48.8059282810673,,,VN_PB,AcDbEntity:AcDbPoint,,,CD,
21.433872657042,48.6769508160341,,,VN_PB,AcDbEntity:AcDbPoint,,,CE,
21.069901383966,48.8231598872566,,,VN_PB,AcDbEntity:AcDbPoint,,,CF,
21.2379022322811,48.8171290417001,,,VN_PB,AcDbEntity:AcDbPoint,,,D0,
21.3286627887863,48.7699460183099,,,VN_PB,AcDbEntity:AcDbPoint,,,D1,
21.0670557524808,48.8277595776314,,,VN_PB,AcDbEntity:AcDbPoint,,,D2,
21.4565757051261,48.5984180690589,,,VN_PB,AcDbEntity:AcDbPoint,,,D3,
21.4764733104651,48.7613799731077,,,VN_PB,AcDbEntity:AcDbPoint,,,D4,
21.4590709276972,48.7370855039369,,,VN_PB,AcDbEntity:AcDbPoint,,,D5,
21.437902248796,48.7696139717816,,,VN_PB,AcDbEntity:AcDbPoint,,,D6,
21.2983652657183,48.8023963167739,,,VN_PB,AcDbEntity:AcDbPoint,,,D7,
21.344246989462,48.5645013089659,,,VN_PB,AcDbEntity:AcDbPoint,,,D8,
21.3094526442335,48.7992873345913,,,VN_PB,AcDbEntity:AcDbPoint,,,D9,
21.3496695610107,48.756027899998,,,VN_PB,AcDbEntity:AcDbPoint,,,DA,
21.4938117813085,48.6323485681378,,,VN_PB,AcDbEntity:AcDbPoint,,,DB,
21.2967215627605,48.636663387093,,,VN_PB,AcDbEntity:AcDbPoint,,,DC,
21.2411830936303,48.8620067010511,,,VN_PB,AcDbEntity:AcDbPoint,,,DD,
